species,MaxSizeTL,sstmean,Diet,Position,Method
Acanthurus leucosternon,54,28,HerDet,BtPlDw,Otolth
Acanthurus lineatus,38,28,HerDet,BtPlDw,Otolth
Acanthurus nigrofuscus,21,28,HerDet,BtPlDw,Otolth
Acanthurus tennentii,31,28,HerDet,BtPlDw,Otolth
Acanthurus triostegus,27,28,HerDet,BtPlDw,Otolth
Aethaloperca rogaa,60,28,FisCep,BnthDw,Otolth
Amblyglyphidodon leucogaster,13,28,Plktiv,BtPlDw,Otolth
Anampses meleagrides,22,28,InvMob,BnthDw,Otolth
Anyperodon leucogrammicus,65,28,FisCep,BnthDw,Otolth
Apolemichthys trimaculatus,26,28,InvSes,BnthDw,Otolth
Aprion virescens,112,28,FisCep,PelgAs,Otolth
Bodianus axillaris,20,28,InvMob,BtPlDw,Otolth
Calotomus carolinus,54,28,HerDet,BtPlDw,Otolth
Cantherhines pardalis,25,28,Omnivr,BnthDw,Otolth
Centropyge multispinis,14,28,InvSes,BnthDw,Otolth
Cephalopholis argus,60,28,FisCep,BnthDw,Otolth
Cephalopholis leopardus,24,28,FisCep,BnthDw,Otolth
Cephalopholis miniata,50,28,FisCep,BnthDw,Otolth
Cephalopholis urodeta,28,28,FisCep,BnthDw,Otolth
Cetoscarus bicolor,90,28,HerDet,BtPlDw,Otolth
Chaetodon auriga,23,28,InvMob,BnthDw,Otolth
Chaetodon guttatissimus,12,28,Omnivr,BnthDw,Otolth
Chaetodon kleinii,15,28,InvSes,BnthDw,Otolth
Chaetodon lineolatus,30,28,InvSes,BtPlDw,Otolth
Chaetodon lunula,20,28,Omnivr,BtPlDw,Otolth
Chaetodon melannotus,18,28,InvSes,BnthDw,Otolth
Chaetodon meyeri,20,28,InvSes,BnthDw,Otolth
Chaetodon trifascialis,18,28,InvSes,BnthDw,Otolth
Chaetodon trifasciatus,15,28,InvSes,BnthDw,Otolth
Chaetodon xanthocephalus,20,28,Omnivr,BnthDw,Otolth
Chaetodon zanzibarensis,12,28,InvSes,BnthDw,Otolth
Cheilinus fasciatus,52,28,InvMob,BtPlDw,Otolth
Cheilinus trilobatus,45,28,InvMob,BtPlDw,Otolth
Chlorurus atrilunula,30,28,HerDet,BtPlDw,Otolth
Chlorurus sordidus,40,28,HerDet,BtPlDw,Otolth
Chlorurus strongylocephalus,70,28,HerDet,BtPlDw,Otolth
Chromis atripectoralis,12,28,Plktiv,BtPlDw,Otolth
Chromis ternatensis,10.5,28,Plktiv,BtPlDw,Otolth
Chromis weberi,13.5,28,Plktiv,BtPlDw,Otolth
Coris formosa,60,28,InvMob,BtPlDw,Otolth
Ctenochaetus binotatus,22,28,HerDet,BtPlDw,Otolth
Ctenochaetus striatus,26,28,HerDet,BtPlDw,Otolth
Ctenochaetus truncatus,20,28,HerDet,BtPlDw,Otolth
Dascyllus trimaculatus,14,28,Plktiv,BtPlDw,Otolth
Diagramma pictum,100,28,InvMob,BtPlDw,Otolth
Epibulus insidiator,71,28,FisCep,BnthDw,Otolth
Epinephelus coeruleopunctatus,76,28,FisCep,BnthDw,Otolth
Epinephelus fasciatus,40,28,InvMob,BnthAs,Otolth
Epinephelus hexagonatus,27.5,28,FisCep,BnthDw,Otolth
Epinephelus merra,32,28,InvMob,BnthDw,Otolth
Epinephelus spilotoceps,35,28,FisCep,BnthAs,Otolth
Epinephelus tukula,200,28,FisCep,BnthDw,Otolth
Gomphosus caeruleus,32,28,InvMob,BtPlDw,Otolth
Halichoeres cosmetus,13,28,InvMob,BtPlDw,Otolth
Halichoeres hortulanus,27,28,InvMob,BtPlDw,Otolth
Halichoeres marginatus,18,28,InvMob,BtPlDw,Otolth
Halichoeres scapularis,20,28,InvMob,BtPlDw,Otolth
Hemigymnus fasciatus,80,28,InvMob,BtPlDw,Otolth
Hemigymnus melapterus,60,28,InvMob,BtPlDw,Otolth
