"species","MaxSizeTL","sstmean","Diet","Position","Method","spec_code","Selenium_mu","Selenium_l95","Selenium_l50","Selenium_u50","Selenium_u95","Zinc_mu","Zinc_l95","Zinc_l50","Zinc_u50","Zinc_u95","Protein_mu","Protein_l95","Protein_l50","Protein_u50","Protein_u95","Omega_3_mu","Omega_3_l95","Omega_3_l50","Omega_3_u50","Omega_3_u95","Calcium_mu","Calcium_l95","Calcium_l50","Calcium_u50","Calcium_u95","Iron_mu","Iron_l95","Iron_l50","Iron_u50","Iron_u95","Vitamin_A_mu","Vitamin_A_l95","Vitamin_A_l50","Vitamin_A_u50","Vitamin_A_u95"
"Acanthurus leucosternon",54,28,"HerDet","BtPlDw","Otolth",1257,21.03591838,7.237902505,13.38423431,30.30971059,58.87025891,2.3636108,0.684692654,1.610422464,2.98546927,4.109530125,18.59218205,17.4440493,18.16271626,18.9503964,19.6761599,0.099146739,0.049568323,0.073456561,0.130275575,0.214169023,41.59391162,13.89262193,30.58097598,56.72849039,103.3232113,0.650744386,0.255445073,0.487370607,0.88231629,1.654327345,22.34167672,4.89098545,13.86838709,36.97228713,87.40170641
"Acanthurus lineatus",38,28,"HerDet","BtPlDw","Otolth",1258,21.35083,7.154528106,13.49052932,31.27334544,60.80492417,2.608819813,0.749335716,1.772867691,3.324321352,4.646454315,18.67947627,17.54273299,18.28671436,19.05517417,19.74483111,0.108126888,0.054360761,0.080191644,0.142274636,0.232015788,66.11596464,21.08894118,47.01873661,87.15136106,160.0926766,0.819210021,0.322285108,0.616835603,1.12754559,2.090141157,17.08254896,3.812338476,10.59736167,28.39161787,69.52631397
"Acanthurus nigrofuscus",21,28,"HerDet","BtPlDw","Otolth",4739,17.52861516,5.995417276,11.11628705,25.33304991,49.50343318,3.063574845,0.889195388,2.083744074,3.850936539,5.407381207,18.48173963,17.36343396,18.09106606,18.83109223,19.52867458,0.119450276,0.059008574,0.088038673,0.156137339,0.257958783,90.56761208,29.15396869,64.64947849,118.5527666,215.4898725,0.900639955,0.353719147,0.676288792,1.22322027,2.308554928,27.75776133,6.516479127,17.3660401,45.22132946,106.7206755
"Acanthurus tennentii",31,28,"HerDet","BtPlDw","Otolth",1259,18.8037043,6.547144155,11.95146606,27.02814023,53.46355269,2.737421587,0.798084992,1.883435132,3.459059459,4.822679954,18.51951375,17.40129579,18.11655495,18.8611744,19.56466511,0.110726773,0.05517908,0.082196199,0.143588231,0.236178376,65.18788644,21.23285752,47.33559518,86.50981822,157.7155779,0.782238165,0.305906098,0.587745109,1.0606528,1.969268143,25.97075115,5.816070371,16.29351824,42.2728922,99.92229817
"Acanthurus triostegus",27,28,"HerDet","BtPlDw","Otolth",1260,19.3295643,6.129670202,12.1629502,28.74682136,55.7669199,2.567408344,0.741105876,1.736689312,3.269113538,4.607352409,18.9854753,17.95018151,18.63215305,19.34919721,19.95883305,0.130520136,0.06587077,0.096712829,0.170854623,0.278145677,92.93882108,29.45056847,66.73150138,122.5028318,229.7877982,0.845575169,0.332904504,0.638824615,1.160409595,2.13277251,26.63452277,7.437465448,17.26355105,40.6625671,85.68971193
"Aethaloperca rogaa",60,28,"FisCep","BnthDw","Otolth",6441,59.47559244,34.03601307,48.13539204,71.87008626,102.5230404,0.544500146,0.325329242,0.444540868,0.894067666,2.677449871,18.41804753,16.50512104,17.74265872,19.02113938,20.02776844,0.143164143,0.093006585,0.124962276,0.169709117,0.223760077,33.35491242,17.4377264,26.6931917,42.48350212,82.27283822,0.302806063,0.148203034,0.229829607,0.392528355,0.619014111,118.1375627,35.40890646,77.70131927,189.1271867,434.4114397
"Amblyglyphidodon leucogaster",13,28,"Plktiv","BtPlDw","Otolth",5691,25.49993805,11.86286039,19.49884079,30.85865485,46.07946394,1.288250729,0.880026025,1.108617159,1.475858354,1.938766342,18.56322965,17.4733127,18.17627319,18.88765953,19.5708314,0.162874442,0.096749676,0.137046805,0.195867138,0.26897237,75.76404827,43.80307464,62.97500691,90.66034885,131.6169081,0.827848408,0.512165038,0.700327396,0.987374736,1.37745015,144.9742141,48.24669453,98.4864942,214.4060942,439.0412298
"Anampses meleagrides",22,28,"InvMob","BnthDw","Otolth",4889,32.78179795,18.99306649,27.58812912,38.30743223,53.89233402,1.60924961,1.134877032,1.411024031,1.858931188,2.79188244,18.90096335,16.13258472,18.03909736,19.56666021,20.83087248,0.155084726,0.100989565,0.136776383,0.17384927,0.228425467,65.75917834,40.53571955,56.70579432,78.81201456,105.1172845,0.679189045,0.379792438,0.576545627,0.794056153,1.127807258,103.8438002,37.74012633,73.7663618,148.1139398,326.6292944
"Anyperodon leucogrammicus",65,28,"FisCep","BnthDw","Otolth",4922,40.71860907,25.20212197,34.88664673,49.74108705,75.36822026,0.996273672,0.692193513,0.872745315,1.125489209,1.400941537,18.83599454,17.07507875,18.26032042,19.42645771,20.369667,0.137928513,0.095925276,0.124445889,0.152779446,0.198430258,30.32830368,19.45456967,26.05249878,37.29271404,52.48100171,0.450393375,0.270076545,0.381931774,0.522569805,0.713890574,81.54573674,29.27762055,57.29906613,116.0979451,245.0348249
"Apolemichthys trimaculatus",26,28,"InvSes","BnthDw","Otolth",6525,29.9242981,15.01292404,23.37558703,35.3554408,52.6106251,1.339803101,0.903560825,1.175918906,1.529343311,1.968509033,18.49277239,17.41179577,18.09344294,18.8162613,19.49497813,0.121369207,0.077366663,0.10372624,0.139381669,0.183150336,42.3334347,25.9425402,35.40783074,50.53953383,73.90304493,0.580947753,0.354939206,0.491224875,0.685765645,0.946285561,69.26158431,17.17525553,43.23088279,107.0316305,241.1276406
"Aprion virescens",112,28,"FisCep","PelgAs","Otolth",84,39.04740751,20.34410849,32.03330789,48.0890979,76.59654017,1.455422709,0.467799496,1.093763367,1.704865071,2.228369696,19.34467289,17.49465948,18.75909799,19.93740609,20.84622282,0.147786286,0.094078443,0.125162571,0.177265022,0.244581907,18.1321027,8.511490907,14.75539498,22.99401917,37.99196619,0.538240722,0.222217809,0.41136841,0.674734688,1.002388508,104.0051484,36.97415744,73.92485115,146.9771654,304.4498105
"Bodianus axillaris",20,28,"InvMob","BtPlDw","Otolth",5498,31.472134,18.04817071,26.25785225,36.8855879,52.24631663,1.673586415,1.172155083,1.459434442,1.935597089,2.899012879,18.79066822,15.99874709,17.94298091,19.45459109,20.71959038,0.154291053,0.099665158,0.135765099,0.173610026,0.230893898,66.46318296,41.10130715,57.42812811,80.18945799,107.6813831,0.679355998,0.379636658,0.578632795,0.800907662,1.144514278,114.1173375,40.43479992,80.29349426,163.6411075,373.0161981
