country,site,aca_geomorphic,aca_benthic,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score
Fiji,BU01N,Sheltered Reef Slope,Coral/Algae,7.115873,20.467846,0.003279,2298.174812,0,479.000011,0.624475
Fiji,BU02,Sheltered Reef Slope,Coral/Algae,NA,NA,NA,NA,NA,NA,NA
Fiji,BU03,NA,NA,8.524843,59.740091,0.017241,3975.77415,0,0,0.506017
Fiji,BU07,Terrestrial Reef Flat,Rock,1.964416,0,0,6225.163514,0,29,0.391538
Fiji,BU08,Terrestrial Reef Flat,Rock,NA,NA,NA,NA,NA,NA,NA
Fiji,BU09,Sheltered Reef Slope,Rock,7.115873,20.467847,0.003279,2298.17483,0,479.000015,0.624475
Fiji,NAO1,Terrestrial Reef Flat,Coral/Algae,5.392963,30.52259,0.002026,6255.26539,2,65.999999,0.796651
Fiji,NAO2N,Sheltered Reef Slope,Coral/Algae,5.392963,30.522592,0.002026,6255.265691,2,66.000002,0.796651
Fiji,NAO3,Deep Lagoon,Coral/Algae,5.392963,30.52259,0.002026,6255.265291,2,65.999998,0.796651
Fiji,NAO6,NA,NA,5.392963,30.52259,0.002026,6255.265226,2,65.999998,0.796651
Fiji,NAO7,Sheltered Reef Slope,Coral/Algae,5.392963,30.522591,0.002026,6255.265456,2,66,0.796651
Fiji,NAOBF2,Sheltered Reef Slope,Coral/Algae,2.971754,49.417097,0.002612,5936.682315,2,184.999991,0.799669
Fiji,NAOBF3,Sheltered Reef Slope,Coral/Algae,3.10539,14.30939,0.001129,33.943401,0,17.000001,0.51412
Fiji,NAOBF4,Sheltered Reef Slope,Coral/Algae,3.10539,14.309389,0.001129,33.943399,0,17,0.51412
Fiji,NAOBT1,Shallow Lagoon,Sand,2.971755,49.417101,0.002612,5936.68288,2,185.000009,0.799669
Fiji,NAOBT2,Back Reef Slope,Coral/Algae,2.971755,49.4171,0.002612,5936.682686,2,185.000003,0.799669
Fiji,NAOBT3,Back Reef Slope,Coral/Algae,2.971755,49.4171,0.002612,5936.682764,2,185.000005,0.799669
Fiji,VIR1,Sheltered Reef Slope,Coral/Algae,2.102,0,2.52e-4,1.043793,0,502.000015,0.412173
Fiji,VIR10,NA,NA,3.379891,131.479817,0.032548,0,0,0,0.364163
Fiji,VIR11,Sheltered Reef Slope,Coral/Algae,2.764246,31.672142,0.018435,0,0,5,0.46012
