"FullSpecies","Diet","Home_Range","Activity","Schooling","Level_water"
"Naso unicornis","HM","Mob","Day","SmallG","Bottom"
"Naso lituratus","HM","Mob","Day","SmallG","Bottom"
"Kyphosus vaigiensis","HM","VMob","Day","MedG","Low"
"Hemigymnus melapterus","IM","Mob","Day","Sol","Bottom"
"Cephalopholis argus","FC","Sed","Both","Sol","Bottom"
"Chlorurus bleekeri","OM","Mob","Day","SmallG","Bottom"
"Scarus flavipectoralis","OM","Mob","Day","Sol","Bottom"
"Lutjanus fulvus","IM","Mob","Both","SmallG","Low"
"Balistapus undulatus","IM","Mob","Day","Sol","Bottom"
"Melichthys vidua","PK","VMob","Day","MedG","High"
"Lutjanus decussatus","FC","Mob","Both","SmallG","Low"
"Parupeneus barberinoides","IM","Mob","Day","MedG","Bottom"
"Ctenochaetus striatus","OM","Sed","Day","MedG","Bottom"
"Thalassoma purpureum","IM","Mob","Day","SmallG","Bottom"
"Acanthurus olivaceus","HD","Mob","Day","MedG","Bottom"
"Acanthurus auranticavus","HD","Mob","Day","LargeG","Bottom"
"Chlorurus sordidus","OM","Mob","Day","SmallG","Bottom"
"Scarus sp.","OM","Mob","Day","MedG","Bottom"
"Parupeneus multifasciatus","IM","Mob","Day","SmallG","Bottom"
"Sargocentron caudimaculatum","IM","Mob","Night","Sol","Low"
"Zanclus cornutus","OM","Mob","Day","SmallG","Bottom"
"Bodianus mesothorax","IM","Mob","Day","Sol","Bottom"
"Myripristis murdjan","PK","Mob","Night","SmallG","Low"
"Novaculichthys taeniourus","IM","Mob","Day","Sol","Bottom"
"Heniochus chrysostomus","IM","Sed","Day","Pair","Bottom"
"Parupeneus trifasciatus","IM","Mob","Day","SmallG","Bottom"
"Acanthurus nigrofuscus","HD","Sed","Day","SmallG","Bottom"
"Sufflamen chrysopterum","IM","Sed","Day","Sol","Bottom"
"Acanthurus maculiceps","HD","Mob","Day","SmallG","Bottom"
"Scolopsis bilineata","IM","Mob","Day","Sol","Bottom"
"Pempheris sp.","PK","Sed","Night","MedG","Low"
"Pterocaesio tile","PK","VMob","Day","LargeG","High"
"Chaetodon melannotus","IS","Sed","Day","Pair","Bottom"
"Chaetodon baronessa","IS","Sed","Day","Pair","Bottom"
"Gomphosus varius","IM","Mob","Day","Sol","Bottom"
"Ctenochaetus binotatus","OM","Sed","Day","SmallG","Bottom"
"Zebrasoma scopas","HD","Mob","Day","SmallG","Bottom"
"Chaetodon auriga","IM","Sed","Day","Pair","Bottom"
"Chaetodon adiergastos","IM","Sed","Day","Pair","Bottom"
"Chaetodon vagabundus","IM","Sed","Day","Pair","Bottom"
