"site","year","sand","rubble","seagrass","hard_coral","macroalgae","soft_coral","turf_algae","bare_substrate","crustose_coralline_algae","depth","other_benthos","country","id","id2"
"CZFR1","2015",10.37,19.88,0,13.14,25.88,7.37,1.83,14.36,0,11.5,7.17,"Belize","CZFR1_2015_Belize","CZFR1_Belize"
"CZFR1","2017",7.17,14.33,0,18.17,34.17,2.5,18.83,0,0,15.2,4.84,"Belize","CZFR1_2017_Belize","CZFR1_Belize"
"CZFR1","2019",18.33,0,0,22.67,42.33,8.17,5.5,0,0,10.2,3,"Belize","CZFR1_2019_Belize","CZFR1_Belize"
"CZFR1","2020",3,2.5,0,19,45.33,6.17,13.83,0.17,2.83,12.82,7.17,"Belize","CZFR1_2020_Belize","CZFR1_Belize"
"CZFR2","2015",13.44,19.73,0,9.31,31.22,9.23,3.81,6.88,0,12.4,6.37,"Belize","CZFR2_2015_Belize","CZFR2_Belize"
"CZFR2","2017",32,5.33,0,12.67,22,3,18.5,0,0,15.2,6.5,"Belize","CZFR2_2017_Belize","CZFR2_Belize"
"CZFR2","2019",13.47,0,0,17.89,33.05,7.77,25.63,0,0,11.7,2.19,"Belize","CZFR2_2019_Belize","CZFR2_Belize"
"CZFR2","2020",7.33,0.17,0,19,30,3.67,21.33,0,2.17,13.62,16.33,"Belize","CZFR2_2020_Belize","CZFR2_Belize"
"CZFR3","2015",17.48,26.57,0,9.96,25.85,8.29,0,4.16,0,14.3,7.69,"Belize","CZFR3_2015_Belize","CZFR3_Belize"
"CZFR3","2017",24.45,2.81,0,11.22,38.56,7.79,7.98,0,0,15.8,7.19,"Belize","CZFR3_2017_Belize","CZFR3_Belize"
"CZFR3","2019",15.5,0,0,23.83,38.33,8.67,11.67,0,0,14.8,2,"Belize","CZFR3_2019_Belize","CZFR3_Belize"
"CZFR4","2015",10.01,42.98,0,9.04,18.11,7.85,0,8.22,0,10.8,3.79,"Belize","CZFR4_2015_Belize","CZFR4_Belize"
"CZFR4","2017",12.17,11.17,0,16,39.67,3,16.33,0,0,14.6,1.66,"Belize","CZFR4_2017_Belize","CZFR4_Belize"
"CZFR4","2020",5.17,2.33,0,25.67,28,8.83,22.83,0,2.33,13.28,4.84,"Belize","CZFR4_2020_Belize","CZFR4_Belize"
"CZFR5","2015",5.76,27.31,0,10.5,26.28,9.62,0.33,11.3,0,12.4,8.9,"Belize","CZFR5_2015_Belize","CZFR5_Belize"
"CZFR5","2017",3.83,26.5,0,20.17,38.33,2.33,5,0.67,0,13.7,3.17,"Belize","CZFR5_2017_Belize","CZFR5_Belize"
"CZFR5","2020",2.67,18.67,0,24.67,38,10.67,0,3,1,10.4,1.33,"Belize","CZFR5_2020_Belize","CZFR5_Belize"
"CZFR5","2020",3.33,10,2.67,25.67,30,4.67,16,0,5,7.5,2.67,"Belize","CZFR5_2020_Belize","CZFR5_Belize"
"CZFR5","2020",2.5,6.17,0,36,24.17,5,15.67,0.83,5.5,9.05,4.17,"Belize","CZFR5_2020_Belize","CZFR5_Belize"
"CZFR6","2015",21.12,0.68,0,9.02,17.06,15.44,0.17,28.07,0,10.5,8.44,"Belize","CZFR6_2015_Belize","CZFR6_Belize"
"CZFR6","2017",4.17,13,0,13.33,26.67,5.83,32.83,0,0,9.8,4.17,"Belize","CZFR6_2017_Belize","CZFR6_Belize"
"CZFR6","2020",0.83,1.5,0,26.17,13.33,11.33,35.33,1.5,8.17,9.48,1.83,"Belize","CZFR6_2020_Belize","CZFR6_Belize"
"CZPR1","2015",4.02,42.11,0,3.96,32.07,4.65,2.37,0,0,1,10.82,"Belize","CZPR1_2015_Belize","CZPR1_Belize"
"CZPR1","2017",32.5,23.83,12.83,2.34,18,0.67,0.67,0,0,1.8,9.17,"Belize","CZPR1_2017_Belize","CZPR1_Belize"
"CZPR1","2019",36.5,0,2.67,5.83,37.5,1.17,9.83,0,0,1.4,6.5,"Belize","CZPR1_2019_Belize","CZPR1_Belize"
