"id2","nutrient","nutrient_lab","country","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"CZFR1_Belize","calcium.mg","Calcium","Belize",1170.47725,20.835,43.83,9.665,0.085,1.25,"atoll","fore reef",11.51,"no-take",0.0983335530443653,0,0,1.30948214145503,0.504160214740854,0.108319358891881,0.000787370154486112,0.32572598156055,0.0610070746522286
"CZFR2_Belize","calcium.mg","Calcium","Belize",2094.08416666667,18.445,31.525,23.48,0,0.085,"atoll","fore reef",12.66,"no-take",0.0983335530443653,0,0,1.30948214145503,0.438824450444309,0.0937562889039597,0.00327517393726975,0.424091693237589,0.0400523934768725
"CZFR3_Belize","calcium.mg","Calcium","Belize",716.662333333333,23.83,38.33,11.67,0,0,"atoll","fore reef",14.8,"no-take",0.0983335530443653,0,0,1.30948214145503,0.648095404030077,0.129230875564093,0.00964465397032015,0.170170977338375,0.0428580890971348
"CZFR4_Belize","calcium.mg","Calcium","Belize",1111.55066666667,25.67,28,22.83,0,2.33,"atoll","fore reef",13.28,"no-take",0.0359209935300417,0,0,0.925288364549659,0.385543434069657,0.143381555766364,0.00034218728825044,0.461841035370646,0.00889178750508199
"CZFR5_Belize","calcium.mg","Calcium","Belize",2225.48983333333,28.78,30.7233333333333,10.5566666666667,1.27666666666667,11.6133333333333,"atoll","fore reef",8.98333333333333,"no-take",0.0700415627152773,0,0,0.925288364549659,0.483984917231235,0.0791938591584312,0.000104626349265544,0.420279901381897,0.0164366958791721
"CZFR6_Belize","calcium.mg","Calcium","Belize",1760.856,26.17,13.33,35.33,1.5,1.5,"atoll","fore reef",9.48,"no-take",0.0700415627152773,0,0,0.925288364549659,0.549513227917474,0.095426722655986,0.000595057933664998,0.257845214411862,0.0966197770810131
"CZPR1_Belize","calcium.mg","Calcium","Belize",889.01625,9.265,37.9,10.565,0.05,0.1,"patch","back reef",1.52,"no-take",0.134824877317922,0,2.17146698086756e-06,1.30948212015883,0.534266107740986,0.118520627179105,0.00102027449162619,0.342958342570386,0.00323464801789637
"CZPR2_Belize","calcium.mg","Calcium","Belize",1237.30933333333,34.83,6,16.67,0,0,"patch","back reef",1.7,"no-take",0.134824877317922,0,2.17146698086756e-06,1.30948212015883,0.593638157003097,0.038713676908327,0,0.36564785487328,0.00200031121529573
"CZPR4_Belize","calcium.mg","Calcium","Belize",179.990666666667,9.67,53,1.33,0,0,"patch","back reef",1.4,"no-take",0.134825195707816,0,2.17146698086756e-06,1.30948216275123,0.438531291809127,0.101858183439869,0,0.459610524751003,0
"CZPR5_Belize","calcium.mg","Calcium","Belize",923.513125,7.25,20.085,22.335,0,0.5,"patch","back reef",1.75,"no-take",0.134825195707816,0,2.17146698086756e-06,1.30948218404743,0.797533389591453,0.0433684499297767,0.000301169791179005,0.13168574572324,0.0271112449643516
"CZPR7_Belize","calcium.mg","Calcium","Belize",933.702398809524,18.17,13.835,15.5,0,0,"patch","back reef",1.985,"no-take",0.134824877317922,0,2.17146698086756e-06,1.30948212015883,0.426100553206382,0.295795246213763,0,0.277900320108394,0.00020388047146155
"GUZFR2_Belize","calcium.mg","Calcium","Belize",1276.72904761905,10.5,22.67,28.67,2.67,10.17,"atoll","fore reef",12.43,"restriction",0.0700415627152773,0,0,0.925288364549659,0.617893013865271,0.241887511066104,0,0.105081809554745,0.0351376655138812
"GUZFR4_Belize","calcium.mg","Calcium","Belize",1724.1155,24,33.5,27.83,0,0.17,"atoll","fore reef",6.9,"restriction",-0.00612881108869147,0,0,0.737036395853809,0.474135667813859,0.072486320408725,0,0.259733234047902,0.193644777729514
"GUZPR1_Belize","calcium.mg","Calcium","Belize",855.978333333333,11.75,20.75,22,0.085,0.25,"patch","back reef",1.235,"restriction",0.134825195707816,0,2.17146698086756e-06,1.30948214145503,0.378791923125236,0.109066857178746,0,0.50963486057028,0.00250635912573797
"GUZPR2_Belize","calcium.mg","Calcium","Belize",1569.04616666667,12,19.67,16.17,0,0.67,"patch","back reef",1.15,"restriction",0.168486876472642,0,1.43314814346424e-05,0.737036395853809,0.172342417477239,0.0379155176939857,0,0.721904859254234,0.0678372055745405
"GUZPR5_Belize","calcium.mg","Calcium","Belize",1712.29933333333,14.83,25.83,6,0,0,"patch","back reef",0.98,"restriction",0.101675945528846,0,0,0.737036395853809,0.507549523076124,0.154342393075982,0,0.337208093769045,0.000899990078849525
"GUZPR6_Belize","calcium.mg","Calcium","Belize",706.90975,13.83,16.665,19.58,0,0.085,"patch","back reef",0.89,"restriction",0.0700415627152773,0,0,0.925288364549659,0.42408793932748,0.0355891872002866,0,0.532787222557086,0.00753565091514707
"WFR2_Belize","calcium.mg","Calcium","Belize",547.728375,20.605,25.03,19.575,0,0.915,"atoll","fore reef",11.585,"no-take",0.215143513756374,0,0.000115072791232832,1.20235239485913,0.453347446414395,0.201505598087434,0,0.341942312781159,0.00320464271701143
"WFR3_Belize","calcium.mg","Calcium","Belize",252.054416666667,14.33,31.83,8.17,0,0,"atoll","fore reef",11.1,"no-take",0.25227301841202,0,0.000113770251006482,0,0.629393146935184,0.0783678756476684,0,0.291737950923844,0.000501026493303353
"WFR4_Belize","calcium.mg","Calcium","Belize",1065.76980952381,20.25,26.25,16.5,0.5,3,"atoll","fore reef",7.6,"no-take",0.25227301841202,0,0.000113770251006482,0,0.536057764695254,0.0703614339918092,0,0.370148947542761,0.0234318537701759
"WFR5_Belize","calcium.mg","Calcium","Belize",426.155178571429,15.33,42.67,6,0,0,"atoll","fore reef",12.2,"no-take",0.168486876472642,0,1.43314814346424e-05,0.737036395853809,0.456353521136156,0.131903354701852,0,0.411743124161992,0
"WFR6_Belize","calcium.mg","Calcium","Belize",625.684035714286,19.145,30.03,13.565,0.085,0.25,"atoll","fore reef",10.35,"no-take",0.168486581828655,0,1.43314814346424e-05,0.737036395853809,0.556649328987242,0.0925571061142377,0.00533022231276579,0.340906631184904,0.00455671140085054
"Ada01_Fiji","calcium.mg","Calcium","Fiji",491.073333333333,7,0.33,4.33,0,25.67,"patch","fore reef",8,"restriction",-3.39040559077478,1.53144948620723,0.000641413356459516,2.51903967060202,0.217854438807035,0.132454941822517,0.163427815537783,0.400297631998051,0.0859651718346141
"Ada04_Fiji","calcium.mg","Calcium","Fiji",793.253333333333,9.33,8,15.33,2,36,"fringing","fore reef",4.6,"restriction",-3.39794000867204,1.42918312675253,0.00025268586401179,2.8986938339379,0.206255258861856,0.468547511344758,0.286729329526577,0.0333834348548374,0.00508446541197115
"BU01_Fiji","calcium.mg","Calcium","Fiji",406.88,47.67,0.33,0,25.33,24.33,"fringing","back reef",1,"restriction",0.852228188443451,1.33178847120648,0.00142172196475946,3.36157197734018,0.766938390252274,0.0952376866311996,0.0711858589325553,0.0666380641839712,0
"BU01N_Fiji","calcium.mg","Calcium","Fiji",1017.61716666667,48.83,1.83,5.83,3.83,22.67,"fringing","back reef",3.7,"restriction",0.852228188443451,1.33178847120648,0.00142172196475946,3.36157199301817,0.545285246278109,0.120681117661623,0.0742781379961175,0.0803781275902529,0.179377370473897
"BU02_Fiji","calcium.mg","Calcium","Fiji",998.31,54.17,0.83,6.33,4.83,14,"patch","back reef",3,"restriction",0.482975179384918,1.82060014779348,0.00378860045443916,3.24689240403881,0.890354365740892,0.0365751787809121,0.0342108034880891,0.00522450669543142,0.0336351452946753
"BU03_Fiji","calcium.mg","Calcium","Fiji",424.99125,44.5,3.17,7.33,13.25,10.915,"fringing","back reef",2.165,"restriction",0.93068638944031,1.78347543823698,0.00742385613886146,3.59953092712027,0.832454390966673,0.0885531508503855,0.0127944047301378,0.0659522772916872,0.000245776161116807
"BU04_Fiji","calcium.mg","Calcium","Fiji",226.438333333333,41.33,9.67,0.67,25.33,18.33,"fringing","back reef",2,"restriction",0.842650732718928,1.62801681022233,0.00220538415323516,3.32264105700819,0.786400090364848,0.0749382775814494,0.11623178583531,0.0224298462183925,0
"BU05_Fiji","calcium.mg","Calcium","Fiji",190.105,47.67,0.33,1.67,21.67,12.67,"fringing","fore reef",1.5,"restriction",0.752020236978447,1.6498678470943,0.00163421163976833,3.34864350171702,0.888849526171287,0.0336551235497299,0.0774953502789833,0,0
"BU07_Fiji","calcium.mg","Calcium","Fiji",859.139333333333,43.415,0.5,9.33,24.25,8.165,"fringing","fore reef",2.81,"restriction",0.293233462765315,0,0,3.7942205221119,0.546548376365476,0.0933751094756709,0.0636995648129918,0.296376949345862,0
"BU08_Fiji","calcium.mg","Calcium","Fiji",573.456333333333,43.5,5.17,10.33,3.17,2.33,"fringing","back reef",2.72,"restriction",0.482975179384918,1.82060014779348,0.00378860045443916,3.24689240403881,0.463769505586215,0.237945068291747,0.043304709751195,0.233054910400375,0.0219258059704673
"BU09_Fiji","calcium.mg","Calcium","Fiji",660.843,74.33,4.33,3.5,3.67,5.33,"fringing","back reef",2.9,"restriction",0.852228188443451,1.33178849143648,0.00142172196475946,3.36157199641822,0.827374336173891,0.0632052275253461,0.0620010778402775,0.0126253270010217,0.0347940314594631
"BU10_Fiji","calcium.mg","Calcium","Fiji",424.106666666667,18.33,27.67,11.67,9.33,8.33,"fringing","back reef",2.6,"restriction",0.293233462765315,0,0,3.79422053543475,0.531052242504001,0.227093640078311,0.241854117417688,0,0
"BUA07A_Fiji","calcium.mg","Calcium","Fiji",1804.342,40.17,1.5,3.33,6.17,30.83,"fringing","fore reef",4.17,"restriction",-0.193551389406318,2.26003290349368,0.00756813576677288,3.06026909229464,0.430735243577843,0.363466498157179,0.153330531560759,0.0524677267042185,0
"BUA08A_Fiji","calcium.mg","Calcium","Fiji",1213.68166666667,41.5,1,1.33,5,24,"fringing","fore reef",5.47,"restriction",-0.1798064249033,2.20692597611676,0.00678683099844919,2.65610525420769,0.52946513840963,0.231775058177838,0.135341993759182,0.10341780965335,0
"BUA20A_Fiji","calcium.mg","Calcium","Fiji",2287.067,36.33,9.33,1.5,2.17,14,"fringing","fore reef",5.47,"restriction",-0.148048556826769,2.24234426901397,0.00668334905266212,2.85563306216797,0.365639507802663,0.365787456397842,0.0887374538371931,0.116501389660019,0.0633341923022834
"BUA24A_Fiji","calcium.mg","Calcium","Fiji",1796.75,25,44,0.83,5.83,6.5,"fringing","fore reef",4.88,"restriction",-0.1798064249033,2.20692596802618,0.00678683099844919,2.65610524462077,0.213349873485928,0.407035529494316,0.120192892492694,0.0761909261714741,0.183230778355588
"BUA25_Fiji","calcium.mg","Calcium","Fiji",1390.88616666667,56,0.5,1.5,8,11.17,"fringing","fore reef",4.75,"restriction",-0.1798064249033,2.20692596263246,0.00678683099844919,2.65610523982731,0.677304357257434,0.079049144018404,0.178383253700501,0.0161777381992134,0.0490855068244481
"BuC1_Fiji","calcium.mg","Calcium","Fiji",998.968666666667,18.33,9.67,6,3,13.33,"fringing","fore reef",7.63,"restriction",0.637349712017653,1.57724623915231,0.00137670062247258,3.26818127920078,0.43786387856093,0.241786266325876,0.101796748307122,0.170979723442799,0.0475733833632728
"BuC2_Fiji","calcium.mg","Calcium","Fiji",460.680833333333,13.67,3.67,0.33,2.33,5.67,"fringing","fore reef",7.37,"restriction",0.752020236978447,1.64986786654551,0.00163421163976833,3.34864351358757,0.704686350940966,0.178968385516093,0.0399591530351353,0.0731282602317456,0.00325785027605994
"BuC3_Fiji","calcium.mg","Calcium","Fiji",435.301666666667,17,2.67,4,0,9,"fringing","fore reef",7.53,"restriction",0.637349712017653,1.57724622765654,0.00137670062247258,3.26818126772456,0.509555007368488,0.150645543666304,0.248986832831422,0.0833960722752611,0.00741654385852502
"BuC4_Fiji","calcium.mg","Calcium","Fiji",615.691333333333,17,8.67,19,3,8.33,"fringing","fore reef",6.87,"restriction",0.752020236978447,1.6498678373687,0.00163421163976833,3.34864348809509,0.226963713725678,0.112224506382368,0.114324871316792,0.513104173638667,0.033382734936495
"BuC5_Fiji","calcium.mg","Calcium","Fiji",466.265,19,20.33,4.33,0.67,3.33,"fringing","fore reef",7.8,"restriction",0.293233462765315,0,0,3.7942205276224,0.509824816280176,0.288708374969119,0.189173343756107,0.0122934649945981,0
