,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],1.781,0.512,0.779,2.752,0.007,0.005,5191.0,2017.0,1.0,intercept[0],herbivore
intercept[1],0.868,0.515,-0.137,1.9,0.007,0.006,5074.0,2030.0,1.01,intercept[1],invertivore_mobile
intercept[2],0.548,0.511,-0.434,1.572,0.008,0.008,4300.0,1962.0,1.0,intercept[2],piscivore
intercept[3],0.172,0.497,-0.779,1.155,0.007,0.009,5420.0,2346.0,1.0,intercept[3],omnivore
biomass[0],0.35,0.087,0.172,0.512,0.002,0.001,2084.0,2124.0,1.0,biomass[0],herbivore
biomass[1],0.214,0.099,0.031,0.415,0.002,0.002,2121.0,2157.0,1.0,biomass[1],invertivore_mobile
biomass[2],0.584,0.108,0.383,0.804,0.002,0.002,2440.0,2161.0,1.0,biomass[2],piscivore
biomass[3],0.303,0.09,0.128,0.481,0.002,0.001,2560.0,2308.0,1.0,biomass[3],omnivore
hard_coral[0],0.364,0.131,0.106,0.615,0.003,0.002,1758.0,2138.0,1.0,hard_coral[0],herbivore
hard_coral[1],-0.019,0.13,-0.266,0.241,0.003,0.002,1741.0,2143.0,1.0,hard_coral[1],invertivore_mobile
hard_coral[2],-0.135,0.131,-0.37,0.129,0.003,0.002,1983.0,1768.0,1.0,hard_coral[2],piscivore
hard_coral[3],0.02,0.135,-0.23,0.3,0.003,0.002,2163.0,2230.0,1.0,hard_coral[3],omnivore
macroalgae[0],0.081,0.12,-0.162,0.296,0.003,0.002,1912.0,2295.0,1.0,macroalgae[0],herbivore
macroalgae[1],-0.03,0.118,-0.256,0.195,0.003,0.002,1922.0,1992.0,1.0,macroalgae[1],invertivore_mobile
macroalgae[2],-0.325,0.124,-0.564,-0.084,0.003,0.002,2229.0,2118.0,1.0,macroalgae[2],piscivore
macroalgae[3],-0.155,0.124,-0.4,0.081,0.003,0.002,2283.0,2105.0,1.0,macroalgae[3],omnivore
bare_sub[0],0.059,0.112,-0.156,0.275,0.002,0.002,2182.0,2131.0,1.0,bare_sub[0],herbivore
bare_sub[1],-0.165,0.13,-0.424,0.092,0.003,0.002,2470.0,2362.0,1.0,bare_sub[1],invertivore_mobile
bare_sub[2],-0.272,0.128,-0.528,-0.028,0.002,0.002,2767.0,2178.0,1.0,bare_sub[2],piscivore
bare_sub[3],0.005,0.108,-0.203,0.218,0.002,0.002,2255.0,2295.0,1.0,bare_sub[3],omnivore
turf[0],0.16,0.122,-0.061,0.412,0.003,0.002,1815.0,2223.0,1.0,turf[0],herbivore
turf[1],0.064,0.12,-0.173,0.291,0.003,0.002,1852.0,2031.0,1.0,turf[1],invertivore_mobile
turf[2],-0.135,0.118,-0.366,0.091,0.003,0.002,2014.0,2296.0,1.0,turf[2],piscivore
turf[3],-0.002,0.125,-0.248,0.237,0.003,0.002,2123.0,2329.0,1.0,turf[3],omnivore
rubble[0],0.137,0.121,-0.101,0.374,0.003,0.002,1749.0,1719.0,1.0,rubble[0],herbivore
rubble[1],0.271,0.118,0.026,0.488,0.003,0.002,1912.0,2283.0,1.0,rubble[1],invertivore_mobile
rubble[2],0.026,0.122,-0.203,0.272,0.002,0.002,2381.0,2366.0,1.0,rubble[2],piscivore
rubble[3],0.037,0.121,-0.201,0.273,0.002,0.002,2390.0,2357.0,1.0,rubble[3],omnivore
depth[0],-0.033,0.102,-0.229,0.162,0.002,0.002,2385.0,2144.0,1.0,depth[0],herbivore
depth[1],0.046,0.104,-0.146,0.263,0.002,0.002,2403.0,2241.0,1.0,depth[1],invertivore_mobile
depth[2],0.166,0.105,-0.028,0.379,0.002,0.001,2767.0,2481.0,1.0,depth[2],piscivore
depth[3],0.264,0.107,0.059,0.481,0.002,0.001,2550.0,2425.0,1.0,depth[3],omnivore
"country_x[0,0]",-0.013,0.985,-1.893,1.96,0.013,0.021,5698.0,2004.0,1.0,"country_x[0,0]",herbivore
"country_x[0,1]",0.001,0.963,-1.989,1.792,0.012,0.019,6320.0,2246.0,1.0,"country_x[0,1]",invertivore_mobile
"country_x[0,2]",0.009,0.981,-1.961,1.938,0.012,0.023,7188.0,1886.0,1.0,"country_x[0,2]",piscivore
"country_x[0,3]",0.0,1.003,-1.909,1.955,0.013,0.021,5731.0,2039.0,1.0,"country_x[0,3]",omnivore
"country_x[1,0]",0.014,0.987,-1.914,1.882,0.014,0.021,4630.0,2018.0,1.0,"country_x[1,0]",herbivore
"country_x[1,1]",-0.001,1.02,-1.958,2.025,0.013,0.021,5737.0,2193.0,1.0,"country_x[1,1]",invertivore_mobile
"country_x[1,2]",0.008,0.962,-1.883,1.908,0.013,0.021,5100.0,1998.0,1.0,"country_x[1,2]",piscivore
"country_x[1,3]",-0.003,1.005,-1.953,1.991,0.014,0.022,5281.0,1888.0,1.0,"country_x[1,3]",omnivore
"country_x[2,0]",-0.012,0.984,-1.883,1.892,0.012,0.02,6812.0,2053.0,1.0,"country_x[2,0]",herbivore
"country_x[2,1]",-0.008,1.013,-2.009,1.932,0.014,0.024,5439.0,1816.0,1.0,"country_x[2,1]",invertivore_mobile
"country_x[2,2]",-0.002,1.017,-2.122,1.863,0.014,0.022,5175.0,1845.0,1.0,"country_x[2,2]",piscivore
"country_x[2,3]",0.002,0.997,-1.902,1.97,0.013,0.02,5656.0,2048.0,1.0,"country_x[2,3]",omnivore
"country_x[3,0]",-0.009,1.002,-1.953,1.894,0.013,0.02,6202.0,2395.0,1.0,"country_x[3,0]",herbivore
"country_x[3,1]",0.021,1.001,-1.876,2.045,0.014,0.022,5028.0,2030.0,1.0,"country_x[3,1]",invertivore_mobile
"country_x[3,2]",-0.007,0.978,-1.888,1.977,0.012,0.02,6153.0,2006.0,1.0,"country_x[3,2]",piscivore
"country_x[3,3]",0.026,1.024,-2.015,1.984,0.013,0.027,6146.0,1795.0,1.0,"country_x[3,3]",omnivore
"β0_cnc[0,0]",0.247,1.009,-1.784,2.17,0.014,0.019,4978.0,2151.0,1.0,Belize,herbivore
"β0_cnc[0,1]",0.028,0.972,-1.798,1.861,0.013,0.019,5282.0,2019.0,1.0,Belize,invertivore_mobile
"β0_cnc[0,2]",0.196,0.98,-1.706,2.079,0.014,0.02,5123.0,1761.0,1.0,Belize,piscivore
"β0_cnc[0,3]",-0.121,0.967,-2.144,1.678,0.012,0.019,6548.0,2123.0,1.0,Belize,omnivore
"β0_cnc[1,0]",0.005,0.954,-1.982,1.711,0.014,0.019,4886.0,2207.0,1.0,Fiji,herbivore
"β0_cnc[1,1]",0.001,0.976,-1.769,2.047,0.014,0.022,5022.0,1829.0,1.0,Fiji,invertivore_mobile
"β0_cnc[1,2]",-0.102,0.972,-1.892,1.824,0.014,0.02,4687.0,2367.0,1.0,Fiji,piscivore
"β0_cnc[1,3]",0.12,0.98,-1.908,1.939,0.013,0.02,6058.0,2029.0,1.0,Fiji,omnivore
"β0_cnc[2,0]",-0.153,0.981,-1.997,1.755,0.014,0.02,4906.0,2028.0,1.0,Madagascar,herbivore
"β0_cnc[2,1]",-0.051,0.993,-2.141,1.681,0.014,0.02,5474.0,2333.0,1.0,Madagascar,invertivore_mobile
"β0_cnc[2,2]",-0.045,0.941,-1.851,1.864,0.013,0.019,5445.0,2324.0,1.0,Madagascar,piscivore
"β0_cnc[2,3]",-0.069,0.934,-1.93,1.689,0.013,0.018,5209.0,2228.0,1.0,Madagascar,omnivore
"β0_cnc[3,0]",0.006,1.005,-1.964,1.977,0.014,0.02,5116.0,2094.0,1.0,Solomon Islands,herbivore
"β0_cnc[3,1]",0.039,1.023,-2.004,1.987,0.013,0.022,6278.0,2016.0,1.0,Solomon Islands,invertivore_mobile
"β0_cnc[3,2]",-0.027,0.985,-1.97,1.894,0.015,0.021,4246.0,2056.0,1.0,Solomon Islands,piscivore
"β0_cnc[3,3]",0.084,0.992,-1.72,2.202,0.013,0.024,6251.0,1789.0,1.0,Solomon Islands,omnivore
"β0_c[0,0]",2.98,0.221,2.527,3.387,0.005,0.004,2000.0,2273.0,1.0,Belize,herbivore
"β0_c[0,1]",1.018,0.226,0.57,1.442,0.005,0.004,1905.0,2460.0,1.0,Belize,invertivore_mobile
"β0_c[0,2]",1.544,0.223,1.133,1.973,0.005,0.004,2011.0,2227.0,1.0,Belize,piscivore
"β0_c[0,3]",-0.404,0.219,-0.866,0.001,0.004,0.003,2723.0,2386.0,1.0,Belize,omnivore
"β0_c[1,0]",1.766,0.08,1.614,1.928,0.002,0.001,2327.0,2152.0,1.0,Fiji,herbivore
"β0_c[1,1]",0.924,0.081,0.776,1.087,0.002,0.001,2272.0,2219.0,1.0,Fiji,invertivore_mobile
