,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],0.465,1.012,-1.54,2.41,0.043,0.03,553.0,1005.0,1.01,intercept[0],herbivore-detritivore
intercept[1],-0.457,1.009,-2.411,1.444,0.046,0.032,492.0,1205.0,1.01,intercept[1],herbivore-macroalgae
intercept[2],0.605,0.992,-1.429,2.41,0.044,0.031,503.0,832.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.086,0.975,-1.719,2.068,0.038,0.027,673.0,1309.0,1.0,intercept[3],piscivore
intercept[4],0.874,0.995,-1.25,2.687,0.039,0.027,663.0,1165.0,1.0,intercept[4],planktivore
intercept[5],-0.195,0.974,-2.106,1.608,0.044,0.031,502.0,1375.0,1.0,intercept[5],omnivore
hard_coral[0],0.061,0.187,-0.278,0.439,0.004,0.003,1858.0,2161.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.15,0.198,-0.261,0.52,0.004,0.003,2364.0,2451.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.234,0.179,-0.606,0.094,0.004,0.003,2107.0,2365.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.22,0.201,-0.595,0.188,0.004,0.003,2017.0,2417.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.042,0.174,-0.379,0.297,0.004,0.003,2310.0,2384.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.029,0.193,-0.407,0.343,0.004,0.003,2161.0,2163.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.017,0.157,-0.342,0.276,0.004,0.003,1791.0,2182.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.339,0.159,0.035,0.653,0.003,0.002,2814.0,2185.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],0.031,0.151,-0.264,0.334,0.003,0.003,2020.0,2025.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.354,0.163,-0.67,-0.033,0.003,0.002,2268.0,2546.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.234,0.15,-0.526,0.056,0.003,0.002,2138.0,2029.0,1.0,macroalgae[4],planktivore
macroalgae[5],0.026,0.176,-0.313,0.37,0.004,0.003,2099.0,2201.0,1.0,macroalgae[5],omnivore
bare_sub[0],-0.043,0.144,-0.32,0.237,0.003,0.002,2101.0,1852.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.098,0.174,-0.255,0.431,0.003,0.003,2868.0,2150.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.112,0.171,-0.448,0.218,0.004,0.003,2294.0,2226.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.148,0.173,-0.474,0.19,0.003,0.003,2664.0,1920.0,1.0,bare_sub[3],piscivore
bare_sub[4],0.151,0.191,-0.214,0.531,0.004,0.003,2330.0,2225.0,1.0,bare_sub[4],planktivore
bare_sub[5],0.066,0.16,-0.252,0.377,0.003,0.002,2272.0,2054.0,1.0,bare_sub[5],omnivore
turf[0],0.044,0.172,-0.296,0.374,0.004,0.003,2153.0,2281.0,1.0,turf[0],herbivore-detritivore
turf[1],0.126,0.172,-0.224,0.453,0.004,0.002,2407.0,2204.0,1.0,turf[1],herbivore-macroalgae
turf[2],0.007,0.161,-0.307,0.317,0.004,0.003,2022.0,2072.0,1.0,turf[2],invertivore-mobile
turf[3],-0.099,0.171,-0.467,0.208,0.004,0.003,2206.0,2420.0,1.0,turf[3],piscivore
turf[4],-0.148,0.16,-0.463,0.164,0.003,0.002,2194.0,2450.0,1.0,turf[4],planktivore
turf[5],-0.046,0.181,-0.402,0.302,0.004,0.003,2448.0,2286.0,1.0,turf[5],omnivore
rubble[0],-0.255,0.168,-0.562,0.084,0.004,0.003,2008.0,2566.0,1.0,rubble[0],herbivore-detritivore
rubble[1],-0.077,0.202,-0.486,0.288,0.004,0.003,2821.0,2332.0,1.0,rubble[1],herbivore-macroalgae
rubble[2],0.076,0.176,-0.266,0.418,0.004,0.003,1785.0,2229.0,1.0,rubble[2],invertivore-mobile
rubble[3],-0.303,0.178,-0.635,0.054,0.003,0.002,2688.0,2101.0,1.0,rubble[3],piscivore
rubble[4],0.357,0.166,0.039,0.696,0.004,0.003,1789.0,2127.0,1.0,rubble[4],planktivore
rubble[5],-0.119,0.17,-0.46,0.2,0.004,0.003,2374.0,2209.0,1.0,rubble[5],omnivore
population[0],0.267,0.171,-0.051,0.622,0.003,0.003,2410.0,2125.0,1.0,population[0],herbivore-detritivore
population[1],-0.05,0.186,-0.412,0.301,0.003,0.004,3399.0,2193.0,1.0,population[1],herbivore-macroalgae
population[2],0.167,0.18,-0.171,0.527,0.004,0.003,2207.0,1703.0,1.0,population[2],invertivore-mobile
population[3],-0.202,0.188,-0.555,0.166,0.004,0.003,2621.0,2471.0,1.0,population[3],piscivore
