,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],0.146,0.946,-1.769,1.994,0.042,0.03,504.0,1315.0,1.0,intercept[0],herbivore-detritivore
intercept[1],-0.912,1.007,-2.958,1.013,0.041,0.029,612.0,1313.0,1.0,intercept[1],herbivore-macroalgae
intercept[2],0.645,0.992,-1.258,2.481,0.039,0.028,641.0,1546.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.345,0.991,-1.581,2.288,0.032,0.023,930.0,1695.0,1.0,intercept[3],piscivore
intercept[4],0.868,0.998,-1.163,2.811,0.047,0.034,449.0,812.0,1.0,intercept[4],planktivore
intercept[5],-0.583,0.981,-2.436,1.435,0.038,0.027,659.0,1315.0,1.0,intercept[5],omnivore
hard_coral[0],-0.035,0.189,-0.4,0.349,0.004,0.003,1996.0,2229.0,1.0,hard_coral[0],herbivore-detritivore
hard_coral[1],0.018,0.211,-0.432,0.399,0.004,0.004,2576.0,2234.0,1.0,hard_coral[1],herbivore-macroalgae
hard_coral[2],-0.228,0.171,-0.555,0.107,0.004,0.003,2260.0,2388.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],-0.125,0.188,-0.506,0.229,0.004,0.003,2276.0,2278.0,1.0,hard_coral[3],piscivore
hard_coral[4],-0.145,0.179,-0.48,0.207,0.004,0.003,1868.0,2132.0,1.0,hard_coral[4],planktivore
hard_coral[5],-0.055,0.198,-0.429,0.339,0.004,0.003,2562.0,2369.0,1.0,hard_coral[5],omnivore
macroalgae[0],-0.2,0.159,-0.491,0.124,0.003,0.002,2083.0,2142.0,1.0,macroalgae[0],herbivore-detritivore
macroalgae[1],0.164,0.173,-0.189,0.473,0.003,0.003,2478.0,2064.0,1.0,macroalgae[1],herbivore-macroalgae
macroalgae[2],-0.041,0.149,-0.346,0.243,0.003,0.002,2416.0,2377.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.382,0.154,-0.687,-0.091,0.003,0.002,2388.0,2453.0,1.0,macroalgae[3],piscivore
macroalgae[4],-0.313,0.151,-0.613,-0.027,0.003,0.002,2293.0,2499.0,1.0,macroalgae[4],planktivore
macroalgae[5],0.041,0.173,-0.275,0.387,0.003,0.003,2845.0,2630.0,1.0,macroalgae[5],omnivore
bare_sub[0],-0.19,0.157,-0.505,0.102,0.003,0.002,3102.0,2424.0,1.0,bare_sub[0],herbivore-detritivore
bare_sub[1],0.016,0.179,-0.326,0.367,0.003,0.003,3829.0,1967.0,1.0,bare_sub[1],herbivore-macroalgae
bare_sub[2],-0.212,0.162,-0.53,0.101,0.003,0.002,2373.0,2146.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],-0.168,0.178,-0.529,0.157,0.004,0.003,2277.0,2236.0,1.0,bare_sub[3],piscivore
bare_sub[4],-0.005,0.191,-0.383,0.348,0.004,0.003,2171.0,2069.0,1.0,bare_sub[4],planktivore
