"nutrient","nutrient_lab","country","management","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore_detritivore","invertivore_mobile","omnivore","other","piscivore","planktivore"
"omega3.g","Omega-3
fatty acids","Belize","Conservation zone",22.87625,32.6366666666667,18.3345833333333,0.368333333333333,2.26416666666667,"atoll","fore reef",11.8604166666667,"no-take",1.27442972727273,0,2.27272727272727e-06,16.1275458181818,0.339098124764324,0.0781322830290933,0,0.15886399872209,0.40416806447679,0.0197375290077028
"omega3.g","Omega-3
fatty acids","Belize","Conservation zone",14.23375,25.33,14.35,0.0125,0.15,"patch","back reef",1.70125,"no-take",1.27442972727273,0,2.27272727272727e-06,16.1275458181818,0.339098124764324,0.0781322830290933,0,0.15886399872209,0.40416806447679,0.0197375290077028
"omega3.g","Omega-3
fatty acids","Belize","General use zone",17.25,28.085,28.25,1.335,5.17,"atoll","fore reef",9.665,"restriction",1.239633,0,6.33333333333333e-06,7.93437266666667,0.207607457055416,0.0869377192406729,0,0.223925784250113,0.457230721687095,0.0242983177667032
"omega3.g","Omega-3
fatty acids","Belize","General use zone",12.9983333333333,20.055,17.555,0.0283333333333333,0.223333333333333,"patch","back reef",1.06333333333333,"restriction",1.239633,0,6.33333333333333e-06,7.93437266666667,0.207607457055416,0.0869377192406729,0,0.223925784250113,0.457230721687095,0.0242983177667032
"omega3.g","Omega-3
fatty acids","Belize","Wilderness zone",14.83,37.25,7.085,0,0,"atoll","fore reef",11.65,"no-take",1.6307875,0,0.0001475,2.229018,0.389633108391214,0.0692578292191441,0,0.11267606220425,0.428433000185392,0
"omega3.g","Omega-3
fatty acids","Belize","Wildnerness zone",20,27.1033333333333,16.5466666666667,0.195,1.38833333333333,"atoll","fore reef",9.845,"no-take",1.63423533333333,0,0.000186666666666667,6.46434933333333,0.361580762529879,0.0662804408017748,0,0.0490978700684418,0.522606868010041,0.000434058589863538
"omega3.g","Omega-3
fatty acids","Fiji","Adavaci_LMMA",9.33,8,15.33,2,36,"fringing","fore reef",4.6,"restriction",0.0004035,29.431233,0.00103,560.1712775,0.186113603509108,0.221754462130503,0.30783305352054,0.0177953672802008,0.103276124572672,0.163227388986976
"omega3.g","Omega-3
fatty acids","Fiji","Adavaci_LMMA",7,0.33,4.33,0,25.67,"patch","fore reef",8,"restriction",0.0004035,29.431233,0.00103,560.1712775,0.186113603509108,0.221754462130503,0.30783305352054,0.0177953672802008,0.103276124572672,0.163227388986976
"omega3.g","Omega-3
fatty acids","Fiji","Bu_LMMA",18.2427272727273,6.85,7.09090909090909,1.54545454545455,8.72636363636364,"fringing","fore reef",7.37909090909091,"restriction",6.22746645454545,36.7888863636364,0.00428681818181818,2232.38935981818,0.47775712402686,0.170798433989887,0.124033086889375,0.0069852912594005,0.122599472048243,0.0978265917862357
"omega3.g","Omega-3
fatty acids","Fiji","Bua_LMMA",40.5,22.25,1.165,6.915,8.835,"fringing","fore reef",4.815,"restriction",0.660988,160.037109,0.01575,452.0073435,0.268382837840343,0.292690678674008,0.183444679077296,0.0121587985132718,0.0511032353339027,0.192219770561179
"omega3.g","Omega-3
fatty acids","Fiji","Bua_Tabu",39.3333333333333,3.94333333333333,2.05333333333333,4.44666666666667,22.9433333333333,"fringing","fore reef",5.03666666666667,"restriction",0.670839333333333,171.580549666667,0.016279,772.020227333333,0.353744873182661,0.413972194557022,0.124969980355584,0.0168717027928004,0.0625773767545595,0.0278638723573728
"omega3.g","Omega-3
fatty acids","Fiji","Dama_Open",16.835,12.835,5,3.835,9,"patch","back reef",6.47,"restriction",0.71082275,149.36755,0.01366925,542.60825675,0.417056623971571,0.313874032983242,0.0280982320427108,0.0134693588546879,0.0513537556880129,0.176147996459775
"omega3.g","Omega-3
fatty acids","Fiji","Dama_Open",15.17,12.67,5.665,6,18.83,"patch","fore reef",6.585,"restriction",0.71082275,149.36755,0.01366925,542.60825675,0.417056623971571,0.313874032983242,0.0280982320427108,0.0134693588546879,0.0513537556880129,0.176147996459775
"omega3.g","Omega-3
fatty acids","Fiji","Dama_Tabu",48.5,0,0.665,10.33,12.67,"patch","back reef",6.05,"restriction",0.675765,177.3522655,0.0165435,932.0266605,0.489629279813293,0.359251160032127,0.0241037253032132,0.00952593316187816,0.0456009394319007,0.0718889622575876
"omega3.g","Omega-3
fatty acids","Fiji","Dawa_LMMA",16.7475,15.6675,21.5,0.1675,19.8325,"fringing","fore reef",5.3075,"restriction",7.10402583333333,208.878380166667,0.0260485833333333,1310.11954716667,0.268307782628406,0.205701178283353,0.0623598664405994,0.0110760346533667,0.206878659128833,0.245676478865442
"omega3.g","Omega-3
fatty acids","Fiji","Dawa_LMMA",22.67,3.67,26.67,0.33,24,"fringing","pinnacle",5.67,"restriction",7.10402583333333,208.878380166667,0.0260485833333333,1310.11954716667,0.268307782628406,0.205701178283353,0.0623598664405994,0.0110760346533667,0.206878659128833,0.245676478865442
"omega3.g","Omega-3
fatty acids","Fiji","Dawa_LMMA",0.67,31,9,0,43.33,"lagoon","fore reef",8.07,"restriction",7.10402583333333,208.878380166667,0.0260485833333333,1310.11954716667,0.268307782628406,0.205701178283353,0.0623598664405994,0.0110760346533667,0.206878659128833,0.245676478865442
"omega3.g","Omega-3
fatty acids","Fiji","Dawa_LMMA",15.055,12.555,19.4733333333333,2.36166666666667,27.0833333333333,"patch","fore reef",6.30833333333333,"restriction",7.10402583333333,208.878380166667,0.0260485833333333,1310.11954716667,0.268307782628406,0.205701178283353,0.0623598664405994,0.0110760346533667,0.206878659128833,0.245676478865442
"omega3.g","Omega-3
fatty acids","Fiji","Kaibu_Yacata_LMMA",25.8325,11.6391666666667,10.3891666666667,15.4158333333333,3.05583333333333,"fringing","fore reef",9.88583333333333,"restriction",0.000360785714285714,1.4880925,0,166.733076928571,0.296015553318184,0.149015271014358,0.261475489035146,0.0381980359561336,0.181149953037058,0.0741456976391206
"omega3.g","Omega-3
fatty acids","Fiji","Kaibu_Yacata_LMMA",13.5,10,4.67,8.5,18.83,"lagoon","back reef",3.915,"restriction",0.000360785714285714,1.4880925,0,166.733076928571,0.296015553318184,0.149015271014358,0.261475489035146,0.0381980359561336,0.181149953037058,0.0741456976391206
"omega3.g","Omega-3
fatty acids","Fiji","Kaibu_Yacata_tabu",30,1.835,6.5,25.165,5.165,"fringing","fore reef",10.45,"restriction",0.000361,1.649786,0,170.35795475,0.252072477055461,0.165115993352034,0.28918720466415,0.0594737289139602,0.175732657524947,0.0584179384894485
"omega3.g","Omega-3
fatty acids","Fiji","Kaibu_Yacata_tabu",12.5,2.835,17.335,1.5,14.665,"lagoon","fore reef",1.45,"restriction",0.000361,1.649786,0,170.35795475,0.252072477055461,0.165115993352034,0.28918720466415,0.0594737289139602,0.175732657524947,0.0584179384894485
"omega3.g","Omega-3
fatty acids","Fiji","Kanacea_LMMA",28.9175,3.835,7.665,6.5825,16.585,"fringing","fore reef",9.225,"restriction",0.0003892,7.061205,0.0001498,61.3099836,0.132282065004431,0.0963252366578659,0.199489640998702,0.0190093789275332,0.31195400856664,0.240939669844828
