"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"CZFR1_Belize","selenium.mug","Selenium","Belize","atoll","fore reef","no-take",0.0645950138020182,-0.470300684749074,2.2898689547202,-0.202160234007813,-0.587250066636447,-0.762737640573159,1.64712850311512,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.528546622944086,0.0931588813453811,0,0.327069638500285,0.0512248572102483
"CZFR2_Belize","selenium.mug","Selenium","Belize","atoll","fore reef","no-take",0.989222491617897,-0.610636440236217,1.38302701330331,1.14680149011042,-0.596727134213913,-0.857382677281553,2.05762364435557,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.459837253651626,0.0686689488663796,0,0.433493729350771,0.0380000681312234
"CZFR3_Belize","selenium.mug","Selenium","Belize","atoll","fore reef","no-take",-0.389721356312566,-0.294440606220206,1.88453529541156,-0.00638258240759193,-0.596727134213913,-0.864288109144397,2.82150155935955,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.6692126240221,0.149377186641219,0,0.134798751011907,0.046611438324774
"CZFR4_Belize","selenium.mug","Selenium","Belize","atoll","fore reef","no-take",0.00560331815681183,-0.186399689861904,1.12324498620095,1.08333242600062,-0.596727134213913,-0.674998035727609,2.27893406832869,0.309053381305846,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.304993962038329,0.142124381372318,0,0.54520029195961,0.00768136462974246
"CZFR5_Belize","selenium.mug","Selenium","Belize","atoll","fore reef","no-take",1.1207733580614,-0.0037870540606426,1.32394656174954,-0.115093697344373,-0.454385295697466,0.0791834441947897,0.745229033375223,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.565708525397371,0.0931481468063634,0,0.33123911253611,0.00990421526015542
"CZFR6_Belize","selenium.mug","Selenium","Belize","atoll","fore reef","no-take",0.655626116664148,-0.157040745199322,0.0421095712813431,2.30389135118903,-0.42948476519981,-0.742427546858911,0.922515340751535,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.724518334173488,0.0692639348302708,0,0.136225978794181,0.0699917522020595
"CZPR1_Belize","selenium.mug","Selenium","Belize","patch","back reef","no-take",-0.217176993138743,-1.14966666424123,1.85284557295652,-0.114279991394247,-0.59115238858011,-0.856164071658698,-1.91882494122587,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.623870919679445,0.0775991349879369,0,0.298529945332618,0
"CZPR2_Belize","selenium.mug","Selenium","Belize","patch","back reef","no-take",0.131500944815073,0.351456176356602,-0.498089651033636,0.481840987667772,-0.596727134213913,-0.864288109144397,-1.85457352781432,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.466746715988443,0.0281043090557305,0,0.505148974955827,0
"CZPR4_Belize","selenium.mug","Selenium","Belize","patch","back reef","no-take",-0.926986030938571,-1.12588591906453,2.96567071033117,-1.01602892532344,-0.596727134213913,-0.864288109144397,-1.96165921683357,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397256141,0.539071695607589,0.0674108839695552,0,0.393517420422855,0
"CZPR5_Belize","selenium.mug","Selenium","Belize","patch","back reef","no-take",-0.182642000006712,-1.26798321123143,0.539933001941327,1.03499829256316,-0.596727134213913,-0.823667921715902,-1.83672591297778,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397045516,0.800210338572834,0.0280838409335262,0,0.17170582049364,0
