"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"selenium.mug","Selenium","Fiji","Ada01",2017,7,0.33,4.33,0,25.67,"patch","fore reef",8,"restriction",-3.39040559077478,1.53144948620723,0.000641413356459516,2.51903967060202,0.186356105049437,0.00729165116041884,0.205915707575715,0.120380539288294,0.165508643675582,0.314547353250553
"selenium.mug","Selenium","Fiji","Ada04",2017,9.33,8,15.33,2,36,"fringing","fore reef",4.6,"restriction",-3.39794000867204,1.42918312675253,0.00025268586401179,2.8986938339379,0.0484169353255314,0.0207250785323779,0.684395694841844,0.196105772016356,0.049497862266645,0.00085865701724541
"selenium.mug","Selenium","Fiji","BUA20A",2019,36.33,9.33,1.5,2.17,14,"fringing","fore reef",5.47,"restriction",-0.148048556826769,2.24234426901397,0.00668334905266212,2.85563306216797,0.317917099003659,0.00623189567917433,0.437931349390466,0.0850959787941189,0.102756590591023,0.0500670865415587
"selenium.mug","Selenium","Fiji","BUA25",2019,56,0.5,1.5,8,11.17,"fringing","fore reef",4.75,"restriction",-0.1798064249033,2.20692596263246,0.00678683099844919,2.65610523982731,0.649702837640234,0.0106458563267368,0.0861265689971136,0.21867264363597,0.0199528897669701,0.0148992036329752
"selenium.mug","Selenium","Fiji","BuC2",2019,13.67,3.67,0.33,2.33,5.67,"fringing","fore reef",7.37,"restriction",0.752020236978447,1.64986786654551,0.00163421163976833,3.34864351358757,0.557689436611023,0.0120556925959615,0.225948890530096,0.0388682921025462,0.160548036105424,0.00488965205494943
"selenium.mug","Selenium","Fiji","BuE5",2019,17.67,3.67,12,0,0.33,"fringing","fore reef",7.8,"restriction",0.842650732718928,1.62801682044978,0.00220538415323516,3.32264106258656,0.449139994793743,0.00365165096137584,0.220272037561795,0.0551748007769914,0.254139524575623,0.0176219913304717
"selenium.mug","Selenium","Fiji","BuE6",2019,33.33,5.67,10.67,0,12.67,"fringing","fore reef",7.97,"restriction",0.842650732718928,1.62801681022233,0.00220538415323516,3.32264105556195,0.560843539715937,0.00477369789477346,0.277693505758887,0.0898927005881927,0.0634186981639155,0.00337785787829418
"selenium.mug","Selenium","Fiji","DamC4",2019,72.67,0,0,4.33,7.67,"patch","back reef",7.1,"restriction",-0.148048556826769,2.24234423918616,0.00668334905266212,2.85563303249593,0.38157055467141,0.00265773861349469,0.461756810334065,0.0111842472379751,0.0496493082093587,0.0931813409336968
"selenium.mug","Selenium","Fiji","DamC8",2019,24.67,10.67,0,8.33,20.33,"patch","fore reef",6.9,"restriction",-0.1798064249033,2.20692596532932,0.00678683099844919,2.6561052417447,0.542617623548379,0.021209917908673,0.145447261604484,0.0447334425638895,0.0411666767264796,0.204825077648096
"selenium.mug","Selenium","Fiji","DamE6",2019,5.67,14.67,11.33,3.67,17.33,"patch","fore reef",6.27,"restriction",-0.122573362861873,2.1827390194451,0.00524745392461059,2.90179099756744,0.208362397323836,0.00562085684462389,0.670741066800887,0.00242636901671974,0.0243096587774701,0.0885396512364642
