"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"CZFR1_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",0.0645950138020182,-0.470300684749074,2.2898689547202,-0.202160234007813,-0.587250066636447,-0.762737640573159,1.64712850311512,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.178658681120776,0.0889442499817775,0,0.706818062484336,0.0255790064131101
"CZFR2_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",0.989222491617897,-0.610636440236217,1.38302701330331,1.14680149011042,-0.596727134213913,-0.857382677281553,2.05762364435557,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.120251072469514,0.0470600477352608,0,0.816745121023324,0.0159437587719009
"CZFR3_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",-0.389721356312566,-0.294440606220206,1.88453529541156,-0.00638258240759193,-0.596727134213913,-0.864288109144397,2.82150155935955,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.378512263550537,0.183644671767773,0,0.406364294321169,0.0314787703605222
"CZFR4_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",0.00560331815681183,-0.186399689861904,1.12324498620095,1.08333242600062,-0.596727134213913,-0.674998035727609,2.27893406832869,0.309053381305846,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.063451006931764,0.0636667362301832,0,0.870824065336094,0.00205819150195912
"CZFR5_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",1.1207733580614,-0.0037870540606426,1.32394656174954,-0.115093697344373,-0.454385295697466,0.0791834441947897,0.745229033375223,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.179927523464285,0.065474930956128,0,0.749524333878197,0.00507321170139049
"CZFR6_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",0.655626116664148,-0.157040745199322,0.0421095712813431,2.30389135118903,-0.42948476519981,-0.742427546858911,0.922515340751535,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.343679864763934,0.119187491315494,0,0.476834053314486,0.0602985906060863
"CZPR1_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","no-take",-0.217176993138743,-1.14966666424123,1.85284557295652,-0.114279991394247,-0.59115238858011,-0.856164071658698,-1.91882494122587,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.267275750613372,0.113735856443936,0,0.618988392942692,0
"CZPR2_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","no-take",0.131500944815073,0.351456176356602,-0.498089651033636,0.481840987667772,-0.596727134213913,-0.864288109144397,-1.85457352781432,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.163610400500824,0.0440314338495804,0,0.792358165649596,0
"CZPR4_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","no-take",-0.926986030938571,-1.12588591906453,2.96567071033117,-1.01602892532344,-0.596727134213913,-0.864288109144397,-1.96165921683357,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397256141,0.223490024425457,0.0792249024576304,0,0.697285073116913,0
"CZPR5_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","no-take",-0.182642000006712,-1.26798321123143,0.539933001941327,1.03499829256316,-0.596727134213913,-0.823667921715902,-1.83672591297778,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397045516,0.513571194368737,0.0482185477246195,0,0.438210257906643,0
