"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","browser","cropper/grazer","invertivore-mobile","piscivore","planktivore","scraper-excavator"
"vitamin_a.mug","Vitamin A","Belize","CZFR1",2019,20.835,43.83,9.665,0.085,"atoll","fore reef",11.51,"no-take",0.0983335530443653,0,0,1.30948214145503,0.0731445428082059,0.051464382076172,0.613869291303398,0,0.121314994211847,0.140206789600378
"vitamin_a.mug","Vitamin A","Belize","CZFR2",2019,18.445,31.525,23.48,0,"atoll","fore reef",12.66,"no-take",0.0983335530443653,0,0,1.30948214145503,0.337621673044191,0.00809448793793348,0.397446052287247,0,0.0328491307692972,0.223988655961332
"vitamin_a.mug","Vitamin A","Belize","CZFR3",2019,23.83,38.33,11.67,0,"atoll","fore reef",14.8,"no-take",0.0983335530443653,0,0,1.30948214145503,0.0603765970331022,0.0458563521603763,0.524515282228466,0,0.0730648846375801,0.296186883940475
"vitamin_a.mug","Vitamin A","Belize","CZPR1",2019,9.265,37.9,10.565,0.05,"patch","back reef",1.52,"no-take",0.134824877317922,0,2.17146698086756e-06,1.30948212015883,0.49282577648488,0.0821434026217049,0.286594717758214,0,0.052408528374364,0.0860275747608372
"vitamin_a.mug","Vitamin A","Belize","CZPR4",2019,9.67,53,1.33,0,"patch","back reef",1.4,"no-take",0.134825195707816,0,2.17146698086756e-06,1.30948216275123,0.273943702274713,0.0341826671351611,0.613989500655015,0,0,0.0778841299351112
"vitamin_a.mug","Vitamin A","Belize","CZPR5",2019,7.25,20.085,22.335,0,"patch","back reef",1.75,"no-take",0.134825195707816,0,2.17146698086756e-06,1.30948218404743,0.251464517808254,0.0999703566369821,0.466372243473158,0,0.00126643292529366,0.180926449156312
"vitamin_a.mug","Vitamin A","Belize","CZPR7",2019,18.17,13.835,15.5,0,"patch","back reef",1.985,"no-take",0.134824877317922,0,2.17146698086756e-06,1.30948212015883,0.203644498022216,0.0813414441499887,0.64599291581186,0,0,0.0690211420159354
"vitamin_a.mug","Vitamin A","Belize","GUZPR1",2019,11.75,20.75,22,0.085,"patch","back reef",1.235,"gear restriction",0.134825195707816,0,2.17146698086756e-06,1.30948214145503,0.160917812450597,0.165271543766625,0.524175288713775,0,0,0.149635355069003
"vitamin_a.mug","Vitamin A","Belize","GUZPR6",2019,13.83,16.665,19.58,0,"patch","back reef",0.89,"gear restriction",0.0700415627152773,0,0,0.925288364549659,0.138171081620241,0.0942917783533466,0.598931158644196,0,0.0745619527121168,0.0940440286701003
"vitamin_a.mug","Vitamin A","Belize","WFR2",2019,20.605,25.03,19.575,0,"atoll","fore reef",11.585,"no-take",0.215143513756374,0,0.000115072791232832,1.20235239485913,0.0392254890334796,0.0223115209280605,0.818237975506469,0,0,0.120225014531991
