"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"zinc.mg","Zinc","Fiji","Ada01",2017,7,0.33,4.33,0,25.67,"patch","fore reef",8,"restriction",-3.39040559077478,1.53144948620723,0.000641413356459516,2.51903967060202,0.454780684342758,0.00606226488551722,0.0786160273079164,0.142000026117177,0.0662873601863255,0.252253637160307
"zinc.mg","Zinc","Fiji","Ada04",2017,9.33,8,15.33,2,36,"fringing","fore reef",4.6,"restriction",-3.39794000867204,1.42918312675253,0.00025268586401179,2.8986938339379,0.210521911439037,0.0233188271171117,0.295840069423767,0.429607006972411,0.0352520888828992,0.00546009616477471
"zinc.mg","Zinc","Fiji","BUA20A",2019,36.33,9.33,1.5,2.17,14,"fringing","fore reef",5.47,"restriction",-0.148048556826769,2.24234426901397,0.00668334905266212,2.85563306216797,0.573690069955714,0.00479454174134779,0.228752790304118,0.106578238881463,0.0526021045182136,0.0335822545991437
"zinc.mg","Zinc","Fiji","BUA25",2019,56,0.5,1.5,8,11.17,"fringing","fore reef",4.75,"restriction",-0.1798064249033,2.20692596263246,0.00678683099844919,2.65610523982731,0.721083192870777,0.00428896111192095,0.0398235664138112,0.222892379445196,0.00507954785212631,0.00683235230616865
"zinc.mg","Zinc","Fiji","BuC2",2019,13.67,3.67,0.33,2.33,5.67,"fringing","fore reef",7.37,"restriction",0.752020236978447,1.64986786654551,0.00163421163976833,3.34864351358757,0.802356557179599,0.00670620393200224,0.0895061047443941,0.0343109750607007,0.0645160862415394,0.00260407284176409
"zinc.mg","Zinc","Fiji","BuE5",2019,17.67,3.67,12,0,0.33,"fringing","fore reef",7.8,"restriction",0.842650732718928,1.62801682044978,0.00220538415323516,3.32264106258656,0.71224515321266,0.00221592198292559,0.09367007995116,0.0567880869401308,0.124645773182262,0.0104349847308621
"zinc.mg","Zinc","Fiji","BuE6",2019,33.33,5.67,10.67,0,12.67,"fringing","fore reef",7.97,"restriction",0.842650732718928,1.62801681022233,0.00220538415323516,3.32264105556195,0.758841701422659,0.0028636790509899,0.0747103233098028,0.119108625718159,0.0415704610240386,0.00290520947435097
"zinc.mg","Zinc","Fiji","DamC4",2019,72.67,0,0,4.33,7.67,"patch","back reef",7.1,"restriction",-0.148048556826769,2.24234423918616,0.00668334905266212,2.85563303249593,0.671575745948079,0.00166210806222007,0.226489155042094,0.0108796042717055,0.0230999443246447,0.0662934423512559
"zinc.mg","Zinc","Fiji","DamC8",2019,24.67,10.67,0,8.33,20.33,"patch","fore reef",6.9,"restriction",-0.1798064249033,2.20692596532932,0.00678683099844919,2.6561052417447,0.704956367934237,0.0110526554353333,0.0757850743983156,0.0617061108711245,0.0112541724743616,0.135245618886628
"zinc.mg","Zinc","Fiji","DamE6",2019,5.67,14.67,11.33,3.67,17.33,"patch","fore reef",6.27,"restriction",-0.122573362861873,2.1827390194451,0.00524745392461059,2.90179099756744,0.544626582078772,0.00612702194439039,0.291944417789367,0.00262017977345132,0.0338658936365323,0.120815904777488
"zinc.mg","Zinc","Fiji","DawaC2",2019,0.67,31,9,0,43.33,"lagoon","fore reef",8.07,"restriction",0.881856360479323,2.21811938625145,0.00810087197904752,3.37011292433429,0.337099666390572,0.0102613842308377,0.0495647277382809,0.020374248999674,0.0397496645976646,0.542950308042971
"zinc.mg","Zinc","Fiji","DawaE6",2019,9,7.33,8.67,9.67,47,"patch","fore reef",6.23,"restriction",0.681230289397532,2.07883696019387,0.00901255566837007,2.15374845335506,0.322201043604636,0.0151318564810558,0.303379675205251,0.228936741465468,0.0172530020230435,0.113097681220546
"zinc.mg","Zinc","Fiji","KB05",2016,29.33,1.67,3.67,26,12.33,"barrier","fore reef",7,"no-take",-0.103637500498737,0.0212290041789347,1.30288149137774e-06,0.894714666182067,0.731260003215367,0.0100698785226741,0.0632322253045292,0.0380672731663203,0.0341736372180542,0.123196982573055
"zinc.mg","Zinc","Fiji","KB09",2019,37.67,4.17,8.5,0.5,2,"barrier","fore reef",7.53,"restriction",-0.229990895452971,1.47317060088867,4.99409938668005e-05,1.79776061104413,0.494613918292698,0.0677237662629189,0.121168250966626,0.258839907356638,0.0395708037547298,0.018083353366389
