,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
intercept[0],-1.086,0.893,-2.955,0.493,0.018,0.013,2486.0,2587.0,1.0,intercept[0],browser
intercept[1],-0.37,0.928,-2.216,1.427,0.021,0.015,2045.0,2489.0,1.0,intercept[1],cropper/grazer
intercept[2],-0.007,0.905,-1.743,1.784,0.019,0.013,2285.0,3067.0,1.0,intercept[2],invertivore-mobile
intercept[3],0.141,0.92,-1.67,1.928,0.021,0.015,1944.0,2829.0,1.0,intercept[3],scraper-excavator
intercept[4],-1.749,0.915,-3.561,-0.035,0.02,0.014,2080.0,2373.0,1.0,intercept[4],piscivore
intercept[5],-1.041,0.91,-2.857,0.743,0.019,0.013,2398.0,2945.0,1.0,intercept[5],planktivore
hard_coral[0],0.334,0.142,0.034,0.602,0.002,0.001,5402.0,3303.0,1.0,hard_coral[0],browser
hard_coral[1],-0.045,0.124,-0.281,0.196,0.002,0.002,5064.0,3255.0,1.0,hard_coral[1],cropper/grazer
hard_coral[2],-0.135,0.132,-0.387,0.12,0.002,0.002,5248.0,3514.0,1.0,hard_coral[2],invertivore-mobile
hard_coral[3],0.381,0.127,0.12,0.615,0.002,0.001,5211.0,3296.0,1.0,hard_coral[3],scraper-excavator
hard_coral[4],0.138,0.138,-0.125,0.426,0.002,0.002,5456.0,3139.0,1.0,hard_coral[4],piscivore
hard_coral[5],0.043,0.137,-0.223,0.305,0.002,0.002,4751.0,3305.0,1.0,hard_coral[5],planktivore
macroalgae[0],0.403,0.128,0.149,0.645,0.002,0.001,5373.0,3094.0,1.0,macroalgae[0],browser
macroalgae[1],0.231,0.119,-0.011,0.456,0.002,0.001,4909.0,3323.0,1.0,macroalgae[1],cropper/grazer
macroalgae[2],-0.056,0.12,-0.282,0.19,0.002,0.002,5487.0,3387.0,1.0,macroalgae[2],invertivore-mobile
macroalgae[3],-0.068,0.121,-0.297,0.177,0.002,0.002,4777.0,2833.0,1.0,macroalgae[3],scraper-excavator
macroalgae[4],-0.13,0.132,-0.395,0.123,0.002,0.002,5683.0,3249.0,1.0,macroalgae[4],piscivore
macroalgae[5],-0.226,0.131,-0.476,0.029,0.002,0.001,5445.0,3450.0,1.0,macroalgae[5],planktivore
bare_sub[0],0.219,0.128,-0.022,0.469,0.002,0.001,5315.0,3079.0,1.0,bare_sub[0],browser
bare_sub[1],0.254,0.116,0.018,0.472,0.002,0.001,5515.0,3160.0,1.0,bare_sub[1],cropper/grazer
bare_sub[2],-0.111,0.126,-0.355,0.137,0.002,0.001,4784.0,3414.0,1.0,bare_sub[2],invertivore-mobile
bare_sub[3],0.022,0.109,-0.198,0.23,0.002,0.001,5003.0,3813.0,1.0,bare_sub[3],scraper-excavator
bare_sub[4],-0.085,0.128,-0.332,0.169,0.002,0.002,5627.0,3305.0,1.0,bare_sub[4],piscivore
bare_sub[5],-0.281,0.138,-0.541,-0.003,0.002,0.002,4900.0,3187.0,1.0,bare_sub[5],planktivore
turf[0],0.007,0.127,-0.238,0.261,0.002,0.002,5508.0,3250.0,1.0,turf[0],browser
turf[1],0.102,0.123,-0.138,0.343,0.002,0.001,4956.0,3279.0,1.0,turf[1],cropper/grazer
turf[2],-0.02,0.12,-0.258,0.213,0.002,0.002,5106.0,3333.0,1.0,turf[2],invertivore-mobile
turf[3],0.114,0.126,-0.133,0.367,0.002,0.002,5497.0,3105.0,1.0,turf[3],scraper-excavator
turf[4],-0.025,0.131,-0.272,0.237,0.002,0.002,5666.0,3203.0,1.0,turf[4],piscivore
turf[5],-0.032,0.124,-0.262,0.216,0.002,0.002,5071.0,2808.0,1.0,turf[5],planktivore
population[0],-0.504,0.163,-0.807,-0.169,0.002,0.002,5215.0,3278.0,1.0,population[0],browser
population[1],-0.093,0.146,-0.388,0.183,0.002,0.002,4933.0,2902.0,1.0,population[1],cropper/grazer
population[2],-0.13,0.148,-0.422,0.147,0.002,0.002,4430.0,3254.0,1.0,population[2],invertivore-mobile
population[3],-0.24,0.142,-0.524,0.034,0.002,0.002,4809.0,3439.0,1.0,population[3],scraper-excavator
population[4],-0.155,0.152,-0.442,0.148,0.002,0.002,4938.0,2730.0,1.0,population[4],piscivore
population[5],-1.355,0.151,-1.672,-1.087,0.002,0.001,5302.0,3208.0,1.0,population[5],planktivore
gravity[0],-0.169,0.129,-0.404,0.091,0.002,0.001,5193.0,3303.0,1.0,gravity[0],browser
gravity[1],0.022,0.12,-0.216,0.254,0.002,0.002,4852.0,3545.0,1.0,gravity[1],cropper/grazer
gravity[2],0.005,0.127,-0.234,0.255,0.002,0.002,4405.0,3171.0,1.0,gravity[2],invertivore-mobile
gravity[3],-0.105,0.123,-0.35,0.134,0.002,0.002,4439.0,3038.0,1.0,gravity[3],scraper-excavator
gravity[4],-0.089,0.14,-0.337,0.216,0.002,0.002,5600.0,2809.0,1.0,gravity[4],piscivore
gravity[5],0.212,0.157,-0.098,0.518,0.002,0.002,4879.0,3510.0,1.0,gravity[5],planktivore
